code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
TUR,0.091404,0.088383,0.079554,0.088148,0.089273,0.099158,0.10295,0.09008,0.092462,0.11041,0.10099,0.099735,0.086426,0.097621,0.08618,0.11518,0.09873,0.098269,0.093866,0.079407
PRT,0.011843,0.013109,0.011592,0.010329,0.0092006,0.0085852,0.0095153,0.0088169,0.0096234,0.0085237,0.0106,0.012118,0.0093676,0.007659,0.0080184,0.011122,0.014408,0.011551,0.010751,0.01046
AZE,0.0060719,0.0055142,0.00497,0.0046699,0.0051061,0.0052254,0.0049658,0.0048337,0.004093,0.00481,0.0050128,0.0041636,0.004625,0.0049888,0.0045011,0.0056078,0.0054147,0.0057566,0.0051929,0.0050444
GRC,0.033115,0.034613,0.029177,0.032474,0.035885,0.034924,0.030041,0.030923,0.039246,0.027854,0.029883,0.028575,0.029826,0.031682,0.020467,0.033997,0.02807,0.036462,0.03453,0.023689
ARM,0.0024375,0.0021865,0.0018743,0.0015132,0.0018428,0.0019643,0.0018012,0.0018605,0.0014823,0.0018664,0.0019575,0.0014388,0.0017365,0.0018621,0.0016813,0.0022037,0.0020055,0.0022111,0.0019248,0.0017822
TJK,0.010548,0.0090818,0.0089946,0.01216,0.0099922,0.010201,0.013244,0.010859,0.010645,0.0096057,0.011766,0.011063,0.01433,0.0117,0.010571,0.01019,0.015415,0.010628,0.012087,0.012449
IRN,0.091456,0.093277,0.089961,0.10102,0.10564,0.12401,0.13388,0.099019,0.083391,0.089829,0.10287,0.10369,0.10568,0.1021,0.095344,0.10974,0.11594,0.10912,0.1142,0.10446
KOR,0.036559,0.037635,0.032796,0.041751,0.041487,0.03932,0.045644,0.023411,0.02242,0.022826,0.026834,0.023554,0.02071,0.023208,0.023229,0.025408,0.025724,0.028049,0.02803,0.027682
AFG,0.040547,0.036353,0.039335,0.045565,0.042786,0.04635,0.052987,0.045721,0.04067,0.037431,0.041968,0.039123,0.04528,0.038003,0.035585,0.035206,0.051282,0.039772,0.042476,0.044618
TUN,0.012289,0.010914,0.011978,0.0091939,0.0095847,0.011155,0.012528,0.013145,0.012209,0.009945,0.010035,0.010218,0.0054273,0.0058477,0.0059608,0.010683,0.0070764,0.0078301,0.011817,0.011554
