code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
LBY,0.013052,0.011796,0.013944,0.01423,0.015842,0.014887,0.016709,0.017702,0.016306,0.014004,0.01492,0.014524,0.015087,0.017696,0.019313,0.020568,0.019229,0.018098,0.020806,0.019359,0.019164,0.018848
MEX,0.35517,0.33112,0.29403,0.33875,0.33394,0.34881,0.27734,0.29,0.32248,0.31215,0.29747,0.30404,0.32623,0.30928,0.28881,0.30995,0.32609,0.32132,0.37445,0.37286,0.3585,0.34585
SAU,0.068696,0.06539,0.051673,0.062854,0.05501,0.049277,0.066674,0.07085,0.052694,0.04408,0.042313,0.038756,0.045026,0.047646,0.054124,0.052142,0.047462,0.043523,0.04721,0.049295,0.049023,0.047635
EGY,0.037819,0.036752,0.035986,0.037292,0.035655,0.040911,0.034089,0.037267,0.040106,0.041043,0.043859,0.044189,0.045749,0.05866,0.049271,0.061654,0.061803,0.055578,0.060599,0.065832,0.062652,0.060283
NPL,0.051539,0.041999,0.036776,0.03689,0.041716,0.041074,0.038613,0.036632,0.03631,0.031816,0.043847,0.036471,0.036913,0.037071,0.036676,0.045006,0.061047,0.041497,0.03904,0.033351,0.033587,0.02857
KWT,0.0015542,0.0014897,0.0012343,0.0014851,0.0013886,0.0016024,0.0015766,0.0014901,0.001461,0.0014839,0.0016851,0.001514,0.0016065,0.0016728,0.0017366,0.0018235,0.0018006,0.0017734,0.0017144,0.0016556,0.0016446,0.0016025
MMR,0.1187,0.12038,0.11521,0.15333,0.13438,0.14739,0.12501,0.1016,0.12886,0.16087,0.13345,0.13521,0.13735,0.11232,0.14532,0.16788,0.13492,0.14206,0.14194,0.13803,0.13668,0.12567
BTN,0.01549,0.012866,0.010484,0.011669,0.013806,0.012441,0.013094,0.010357,0.011148,0.011851,0.013523,0.013309,0.012855,0.011874,0.014524,0.016079,0.018168,0.012908,0.012346,0.010854,0.011359,0.0090751
ESH,0.00056373,0.00050844,0.00044668,0.00043476,0.00048234,0.00056781,0.0006664,0.00058691,0.00048725,0.00048503,0.00069604,0.00077647,0.00069668,0.00080557,0.00068007,0.00068362,0.00071404,0.00081711,0.00085073,0.00082483,0.00080099,0.00075558
MRT,0.022566,0.016452,0.021986,0.025013,0.028264,0.019262,0.019153,0.02336,0.028633,0.019741,0.019609,0.0175,0.01796,0.019749,0.018534,0.02164,0.016882,0.020915,0.020733,0.0197,0.020287,0.019091
