code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
MLT,0.00047514,0.00047253,0.00047704,0.00045443,0.00047915,0.0004782,0.00051159,0.00050569,0.00052788,0.00050212,0.00048812,0.00031967,0.00024682,0.00025951,0.00026796,0.00027555,0.00025946,0.00026637,0.00028268,0.00028114
MAR,0.028916,0.030891,0.022688,0.022143,0.021367,0.020215,0.027117,0.020431,0.021852,0.020793,0.02057,0.024313,0.020534,0.019976,0.015959,0.027403,0.023717,0.025625,0.024754,0.025556
CYP,0.0032234,0.0031658,0.0028236,0.0028184,0.0035015,0.0035966,0.0050259,0.0043728,0.0041316,0.0036003,0.0033612,0.0032932,0.0033655,0.0038545,0.002664,0.0035005,0.0037054,0.003388,0.0029054,0.0029678
IND,0.85271,0.72832,0.70293,0.82984,0.81628,0.94308,0.77143,0.71071,0.76273,0.93109,0.98612,0.98374,1.0314,0.75288,0.74875,1.0678,0.93079,0.84572,1.0314,1.0358
LBN,0.0013735,0.0013332,0.0012116,0.0012069,0.0014532,0.0015966,0.0020696,0.0018027,0.001776,0.0015598,0.0014538,0.0014698,0.0014807,0.0017303,0.0012625,0.00168,0.0017415,0.0015828,0.0014844,0.001446
JOR,0.0044108,0.0043215,0.0042834,0.0050521,0.0049187,0.0060943,0.0061071,0.0058902,0.0075177,0.0060166,0.0052293,0.0059537,0.0053141,0.0063224,0.0058731,0.007783,0.0080751,0.0071894,0.0074339,0.0074364
ISR,0.0040617,0.0040466,0.004011,0.004719,0.0047273,0.0057271,0.0057763,0.0056511,0.0072069,0.0057017,0.0048733,0.0055395,0.0048762,0.0058621,0.0051634,0.0070184,0.0074413,0.0066592,0.0066987,0.0066495
LBY,0.010471,0.0097353,0.011119,0.010964,0.012611,0.011727,0.013298,0.012944,0.012896,0.011026,0.011485,0.011077,0.011121,0.012162,0.012944,0.014326,0.013476,0.012909,0.015169,0.013907
MEX,0.25212,0.23559,0.21822,0.2497,0.22899,0.23143,0.18944,0.2132,0.21144,0.22766,0.20472,0.21193,0.23885,0.16563,0.20318,0.20087,0.23532,0.23565,0.30639,0.24843
SAU,0.035052,0.034417,0.028928,0.034942,0.030391,0.028727,0.037811,0.038933,0.030386,0.026974,0.026511,0.025397,0.02872,0.029623,0.032605,0.033534,0.031198,0.028445,0.0315,0.032171
EGY,0.033278,0.034148,0.034228,0.0382,0.035366,0.042411,0.037745,0.039231,0.049035,0.043198,0.039924,0.044343,0.040941,0.050372,0.043706,0.05578,0.057704,0.053727,0.05684,0.058772
NPL,0.028125,0.025646,0.024104,0.027015,0.027508,0.028161,0.018133,0.023394,0.02249,0.027681,0.033113,0.036884,0.036916,0.022017,0.02235,0.035904,0.034839,0.026558,0.033445,0.033484
KWT,0.001513,0.0014894,0.0013833,0.0017155,0.0017408,0.0018986,0.0021352,0.0015902,0.0014571,0.001566,0.0017672,0.0016763,0.0018261,0.0016059,0.0017526,0.0018977,0.0018174,0.0018108,0.0018007,0.0017118
MMR,0.081043,0.087537,0.086565,0.10355,0.097787,0.096914,0.078432,0.061872,0.073259,0.099995,0.093899,0.097716,0.11223,0.073983,0.087884,0.11774,0.09026,0.10461,0.11195,0.09985
BTN,0.0068655,0.0063859,0.0059002,0.0066865,0.007309,0.0070755,0.0055356,0.0044506,0.0051679,0.0072209,0.0080764,0.0086887,0.0092492,0.0055086,0.0042498,0.0086091,0.0065737,0.0064031,0.0090038,0.0077595
ESH,0.0030323,0.0029773,0.0028803,0.0028935,0.0033484,0.00326,0.0033705,0.0032252,0.0032098,0.0032367,0.0032854,0.0034426,0.003541,0.0034064,0.0031603,0.0030534,0.0033858,0.0037842,0.0036301,0.0038106
MRT,0.018535,0.015883,0.017867,0.014933,0.019214,0.014176,0.012633,0.016644,0.01834,0.015652,0.016845,0.015076,0.013033,0.015307,0.010616,0.022667,0.012073,0.01818,0.018132,0.018966
BHS,0.0093333,0.0085384,0.0075857,0.0087141,0.0078533,0.0096597,0.010067,0.010207,0.0065201,0.0067819,0.0067622,0.0062601,0.0082709,0.0077548,0.0068568,0.0076204,0.0067586,0.0081006,0.0076647,0.0076031
BGD,0.053298,0.049834,0.046235,0.052029,0.056871,0.055053,0.043437,0.035089,0.040538,0.055681,0.061864,0.066247,0.070322,0.04246,0.03353,0.065136,0.050105,0.0488,0.067462,0.058658
OMN,0.008039,0.0088955,0.0083284,0.0077758,0.0087165,0.0095285,0.0092474,0.0092002,0.0081591,0.0088939,0.009382,0.0091747,0.0088329,0.0084486,0.0075677,0.0095957,0.0099757,0.0088705,0.0094252,0.0089871
BHR,0.00016188,0.00017328,0.00016217,0.00015516,0.00017354,0.0001677,0.00018196,0.00016697,0.00016743,0.00017925,0.00018035,0.0001753,0.00017239,0.00016733,0.00015986,0.00017998,0.00017859,0.00016881,0.00017649,0.00017308
QAT,0.00082797,0.00088631,0.00082946,0.00079359,0.0008876,0.00085778,0.00093103,0.00085463,0.00085733,0.00091818,0.00092412,0.00089861,0.00088397,0.00085837,0.00082036,0.00092393,0.00091712,0.00086722,0.00090701,0.00088948
ARE,0.0033297,0.0038893,0.0033594,0.0033998,0.0034689,0.0036078,0.0038512,0.0037203,0.0036004,0.0038012,0.0041553,0.0039763,0.003906,0.0035477,0.0034077,0.0045971,0.0048466,0.0042126,0.0043534,0.0041158
CHN,0.0068747,0.0066639,0.0064254,0.0069782,0.0065197,0.0064196,0.0062883,0.0060202,0.005212,0.0076425,0.0078996,0.0083963,0.0096888,0.0077715,0.0078834,0.0080693,0.0070236,0.0073129,0.0079881,0.0079422
MLI,0.060246,0.058135,0.057903,0.052999,0.063165,0.042636,0.043551,0.052201,0.067207,0.05597,0.060603,0.052879,0.042741,0.056014,0.037275,0.092064,0.047082,0.075076,0.06996,0.079654
NER,0.055263,0.06285,0.069297,0.055765,0.058666,0.041,0.043142,0.044323,0.055675,0.051593,0.050945,0.041051,0.041814,0.046929,0.03733,0.063106,0.043052,0.059717,0.04831,0.056415
TCD,0.089893,0.077982,0.086944,0.089247,0.094432,0.080015,0.089731,0.089735,0.10652,0.099431,0.083857,0.081997,0.081922,0.085698,0.070879,0.11783,0.082176,0.097656,0.091158,0.093864
VNM,0.05456,0.053569,0.061982,0.067697,0.060575,0.065634,0.053858,0.053111,0.060741,0.073026,0.063366,0.074407,0.081403,0.057129,0.066751,0.092406,0.079697,0.098221,0.10469,0.093612
CUB,0.015468,0.014939,0.015161,0.016318,0.014507,0.014861,0.015205,0.015368,0.013303,0.013582,0.01261,0.013504,0.014206,0.013508,0.013407,0.012274,0.011656,0.014238,0.013577,0.013946
SDN,0.27076,0.24247,0.2561,0.24586,0.24421,0.23997,0.28373,0.25146,0.28812,0.24424,0.26301,0.25989,0.27235,0.27453,0.23605,0.40041,0.28841,0.29117,0.29348,0.27472
LAO,0.034989,0.03428,0.038865,0.056189,0.040444,0.042711,0.031299,0.030074,0.032283,0.044819,0.038568,0.043139,0.060078,0.034099,0.04029,0.063247,0.043497,0.06146,0.062454,0.056977
CHN,0.00072706,0.00062032,0.00061329,0.00073549,0.00064258,0.00055979,0.00051887,0.00048619,0.00014201,0.0007716,0.00091818,0.00091012,0.0010116,0.00063825,0.00055961,0.00010199,0.00054707,0.00051203,0.00067297,0.00094059
GBR,0.0011655,0.0011934,0.0012024,0.0011222,0.0012082,0.0011953,0.0013819,0.0013117,0.0011913,0.0013171,0.0012388,0.0012278,0.0010762,0.0010302,0.0012735,0.001072,0.0010425,0.0012972,0.0013384,0.0012866
THA,0.10573,0.10597,0.11606,0.14103,0.12347,0.12234,0.10124,0.094771,0.10331,0.13552,0.12014,0.12052,0.15358,0.10383,0.1106,0.1675,0.12753,0.15245,0.16634,0.14883
HTI,0.0030351,0.0031042,0.0031656,0.0029096,0.0031621,0.0030902,0.0036471,0.0034844,0.0031404,0.0034419,0.0032406,0.0031991,0.0027919,0.0026676,0.0033409,0.0027383,0.0026701,0.0033872,0.0035251,0.0034219
DOM,0.0027425,0.0028103,0.002948,0.0025974,0.002846,0.0027538,0.0031878,0.0030462,0.0027683,0.0030931,0.0029279,0.0028829,0.0026496,0.0025674,0.0030465,0.0026402,0.0025675,0.003234,0.0033376,0.0033261
PHL,0.028736,0.031071,0.034291,0.030651,0.027685,0.02862,0.031125,0.032473,0.033735,0.032863,0.029644,0.030091,0.029731,0.024452,0.02787,0.028297,0.026627,0.028726,0.028912,0.033196
YEM,0.012853,0.012994,0.012814,0.01309,0.012298,0.012744,0.013823,0.012733,0.012789,0.013794,0.01243,0.012419,0.011614,0.011362,0.0098033,0.012103,0.01314,0.012347,0.01228,0.012203
JAM,0.0039949,0.0039286,0.0043244,0.0046533,0.0039448,0.0036988,0.0037145,0.0037494,0.0037154,0.0036552,0.003227,0.0037106,0.003618,0.0034651,0.0035442,0.0028324,0.0027292,0.003561,0.0032667,0.0035415
BLZ,0.0044127,0.0037487,0.0040036,0.0047735,0.0036016,0.0050614,0.0035062,0.0039709,0.004403,0.0046604,0.0038162,0.0036662,0.0045655,0.0034285,0.002681,0.0036742,0.0033678,0.0045498,0.004669,0.0044192
USA,0.00049868,0.00051368,0.00057952,0.00045663,0.00051193,0.00048166,0.00051538,0.00048245,0.00044087,0.0005124,0.00048332,0.00046281,0.0004836,0.0004775,0.00047805,0.00047689,0.00045263,0.00054957,0.00054389,0.00058021
KHM,0.040619,0.041128,0.046399,0.047764,0.047945,0.047931,0.041248,0.03934,0.043066,0.054627,0.044291,0.048093,0.054627,0.039074,0.041642,0.061726,0.051826,0.063157,0.065568,0.055999
GBR,0.00002748,0.000028953,0.00002935,0.000026121,0.000025043,0.000025722,0.000027188,0.000027729,0.000026971,0.000034085,0.000030138,0.00002612,0.00002654,0.000033806,0.00003211,0.00003135,0.000034374,0.000031944,0.000031212,0.000029572
NLD,0.00041229,0.00041496,0.00051268,0.00039569,0.00037748,0.00047618,0.00043997,0.00042072,0.00046442,0.00048187,0.00052396,0.00048571,0.00040789,0.00037833,0.00046171,0.00036303,0.00056395,0.0004773,0.00039879,0.00047133
ERI,0.010952,0.010794,0.012415,0.012823,0.0098415,0.010946,0.013248,0.011287,0.01377,0.0099778,0.011065,0.0091668,0.0091037,0.0080108,0.0090833,0.011719,0.01124,0.012064,0.013502,0.011194
GTM,0.012544,0.0113,0.011993,0.015315,0.011429,0.014488,0.010639,0.011513,0.013536,0.01296,0.012258,0.010724,0.013404,0.011429,0.010487,0.012711,0.011712,0.012955,0.014022,0.013623
USA,0.000098258,0.0001021,0.00011063,0.00009129,0.000096515,0.000093777,0.000099726,0.000096342,0.000090152,0.00010839,0.000099329,0.00009121,0.000094129,0.00010325,0.00010085,0.000099528,0.00010069,0.00010863,0.0001068,0.00010881
ATG,0.000054961,0.000057907,0.000058701,0.000052244,0.000050088,0.000051445,0.000054377,0.00005546,0.000053944,0.000068172,0.000060278,0.000052241,0.000053081,0.000067614,0.000064222,0.000062701,0.000068749,0.00006389,0.000062425,0.000059146
KNA,0.00005496,0.000057905,0.000058699,0.000052242,0.000050087,0.000051443,0.000054375,0.000055458,0.000053943,0.00006817,0.000060277,0.00005224,0.000053079,0.000067612,0.00006422,0.000062699,0.000068748,0.000063888,0.000062424,0.000059145
CPV,0.0025901,0.0027542,0.0026388,0.0024507,0.0026958,0.0026749,0.0025087,0.0027289,0.0025825,0.0026052,0.0024666,0.0026298,0.0026537,0.0024873,0.0025934,0.0023957,0.0025335,0.0026843,0.0026347,0.0027325
GBR,0.00010938,0.00011471,0.00013694,0.000099618,0.00010245,0.00010136,0.00011903,0.00010722,0.00011027,0.00012909,0.00011376,0.00011927,0.00010228,0.00010468,0.0001013,0.00010439,0.00011206,0.00012245,0.00010843,0.00011598
SEN,0.023739,0.019549,0.022351,0.01643,0.021835,0.017103,0.015302,0.021333,0.022957,0.019131,0.022667,0.01753,0.01485,0.018444,0.011521,0.028963,0.014009,0.021648,0.021744,0.021997
FRA,0.00012618,0.00013231,0.0001587,0.00011476,0.00011828,0.00011688,0.0001377,0.00012356,0.00012731,0.00014867,0.000131,0.00013814,0.00011786,0.00011968,0.00011589,0.00011968,0.00012837,0.00014108,0.00012451,0.00013373
HND,0.010939,0.010625,0.012012,0.015286,0.010555,0.012013,0.010203,0.010826,0.012469,0.011489,0.011876,0.009862,0.011455,0.010414,0.010418,0.012262,0.010575,0.010658,0.011234,0.010979
DMA,0.00012595,0.00013194,0.00016315,0.00011352,0.00011871,0.00011643,0.00014,0.00012259,0.00012777,0.00014685,0.0001293,0.0001415,0.00011685,0.00011242,0.00010944,0.00011466,0.0001223,0.00013971,0.00012055,0.00013308
