code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
MEX,0.29132,0.27046,0.24006,0.27769,0.27428,0.28478,0.2272,0.23805,0.26392,0.25736,0.24452,0.25033,0.26873,0.25434,0.23786,0.25596,0.26949,0.26469,0.30951,0.30775,0.29652,0.28601
SAU,0.035385,0.033008,0.026041,0.032934,0.02791,0.024953,0.033709,0.035129,0.025736,0.022669,0.022162,0.020968,0.025466,0.026767,0.030896,0.030245,0.026893,0.025722,0.028006,0.029727,0.029558,0.028681
EGY,0.03691,0.035867,0.03512,0.03639,0.034788,0.039912,0.033276,0.036387,0.039192,0.040135,0.042913,0.043266,0.04483,0.057505,0.048307,0.060507,0.060699,0.054617,0.059603,0.064741,0.061611,0.059278
NPL,0.04901,0.039931,0.035002,0.035071,0.03978,0.038926,0.036688,0.03448,0.034325,0.03,0.041417,0.034072,0.034742,0.03473,0.034295,0.042177,0.057386,0.038748,0.03634,0.031059,0.031269,0.026521
KWT,0.001338,0.0012825,0.0010626,0.0012785,0.0011955,0.0013795,0.0013579,0.0012841,0.0012596,0.00128,0.0014543,0.0013073,0.0013877,0.0014457,0.0015017,0.0015776,0.0015586,0.001536,0.0014856,0.0014345,0.0014249,0.0013885
MMR,0.092664,0.094218,0.09,0.12105,0.10515,0.1156,0.097907,0.07876,0.1007,0.12708,0.10403,0.10553,0.10748,0.087492,0.11355,0.13143,0.10468,0.11085,0.11039,0.10784,0.10712,0.099084
BTN,0.010001,0.0083053,0.0067646,0.0075309,0.0089126,0.0080306,0.008472,0.0067132,0.0072416,0.0077175,0.0088264,0.0087046,0.0084276,0.0077998,0.009564,0.010614,0.012024,0.0085548,0.0082014,0.0071746,0.0074765,0.0059438
ESH,0.00044323,0.0004107,0.00037179,0.00036095,0.00038357,0.00042669,0.00048718,0.00046302,0.00040585,0.00039848,0.00049479,0.00052098,0.00050369,0.0006054,0.00051817,0.00052538,0.00053816,0.00059885,0.00061028,0.00059121,0.00057055,0.00053879
MRT,0.019222,0.013467,0.017775,0.020201,0.02344,0.015812,0.016095,0.018972,0.023635,0.016663,0.016458,0.014753,0.014856,0.016825,0.015505,0.018488,0.014364,0.017765,0.017538,0.016436,0.017019,0.01591
BHS,0.0040362,0.0039995,0.0041583,0.0043497,0.0040685,0.0043087,0.0039617,0.0040754,0.0042765,0.0040837,0.003734,0.0040374,0.0039364,0.0040445,0.004133,0.003886,0.003856,0.0039662,0.0039519,0.0040902,0.0040437,0.0040098
BGD,0.067826,0.060668,0.051433,0.05481,0.063557,0.060223,0.058478,0.05097,0.053697,0.056419,0.063454,0.063112,0.060108,0.057733,0.068367,0.075013,0.0818,0.061469,0.061795,0.057433,0.058648,0.048964
OMN,0.0027308,0.0029493,0.002647,0.0026878,0.0024573,0.002499,0.002834,0.0031986,0.0032358,0.0034204,0.003694,0.0035424,0.0035935,0.0033232,0.0033508,0.0038255,0.0039651,0.0039469,0.0041139,0.0038567,0.0038398,0.003501
BHR,0.000024785,0.000029831,0.000024973,0.000027607,0.000028872,0.000025117,0.000027303,0.000027227,0.000028481,0.000028639,0.000031281,0.00002911,0.000029297,0.000030313,0.00003399,0.000035465,0.000034202,0.000034112,0.000034019,0.000034235,0.000034129,0.000033026
