code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
TKM,0.028207,0.042574,0.049184,0.038113,0.044228,0.057687,0.040546,0.07309,0.051637,0.042118,0.051481,0.050678,0.057858,0.031701,0.064518,0.052915,0.057087,0.064781,0.057919,0.066555,0.053956,0.056676
MKD,0.0039432,0.0054381,0.0077186,0.0067505,0.0055082,0.0040041,0.0036278,0.0024849,0.0061142,0.0054685,0.0059615,0.0043878,0.0059389,0.0061604,0.0043617,0.0034914,0.0045863,0.003715,0.002074,0.0046629,0.0042436,0.0047007
TUR,0.087262,0.11658,0.13239,0.12911,0.10844,0.12613,0.12949,0.094879,0.16992,0.14613,0.15801,0.098057,0.12871,0.10168,0.14892,0.12446,0.13634,0.1586,0.15102,0.1844,0.16974,0.17617
PRT,0.022223,0.022764,0.024035,0.027036,0.023254,0.026923,0.023262,0.02818,0.024346,0.024602,0.020769,0.021693,0.028447,0.01879,0.029938,0.025964,0.031132,0.031538,0.028556,0.023201,0.025875,0.01793
AZE,0.0053561,0.0070015,0.0087162,0.0078494,0.0078236,0.010981,0.010444,0.016351,0.013176,0.012947,0.010395,0.0088258,0.0097147,0.004825,0.013072,0.011715,0.0094408,0.012251,0.012281,0.013857,0.010853,0.01233
GRC,0.025918,0.032149,0.042925,0.041897,0.033079,0.027723,0.028746,0.01924,0.039232,0.035114,0.037444,0.028399,0.036557,0.039831,0.02987,0.026546,0.034865,0.031617,0.025424,0.034063,0.031242,0.035445
ARM,0.0026148,0.0030032,0.0033174,0.0034096,0.0032943,0.0035768,0.0037368,0.0042484,0.0045498,0.0045224,0.0041006,0.0036965,0.004052,0.0024583,0.0047352,0.0045224,0.0037044,0.0045211,0.0047875,0.0051375,0.0040633,0.0045181
TJK,0.005447,0.0096503,0.013383,0.01075,0.011506,0.014902,0.010357,0.0062151,0.012597,0.013125,0.017412,0.016345,0.015688,0.0064407,0.016802,0.010466,0.012338,0.01533,0.012377,0.0154,0.01243,0.011576
IRN,0.097004,0.12927,0.16984,0.13168,0.15025,0.19609,0.15678,0.19768,0.21708,0.18968,0.20426,0.19045,0.2038,0.12093,0.21445,0.17468,0.18272,0.21219,0.18637,0.21533,0.19475,0.19734
KOR,0.03187,0.036077,0.034395,0.027399,0.026915,0.032697,0.017536,0.011854,0.01412,0.022478,0.019594,0.015964,0.018006,0.016207,0.020138,0.01867,0.017648,0.018194,0.021385,0.022248,0.020479,0.016196
